polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00455,Gevers Deynoot,1878-05-24,1879-03-25,"373830,2482",1845,https://www.geni.com/people/Abraham-Gevers-Deynoot/6000000023152339828,Loosduinen (Den Haag),1844-09-25,https://www.geni.com/people/Margareta-Catharina-Wijckerheld-Bisdom/6000000021047588664,Loosduinen,,,,,
00462,Gleichman,1893-06-23,1906-04-30,"676710,4885",1865-03-13,https://www.genealogieonline.nl/en/west-europese-adel/I19144.php,Rotterdam,1887-04-02,https://www.genealogieonline.nl/en/west-europese-adel/I19145.php,Rotterdam,,1025136.75,,,
00464,Godefroi,1878-05-24,1882-06-25,NA,,,,,,,,,,,
00468,Goekoop,1893-06-23,1911-10-07,"131415,4365",1885-08-19,https://www.geni.com/people/Cornelis-Goekoop/6000000030455025253,Den Haag,1861-04-17,https://www.geni.com/people/Maria-Florina-Goekoop/6000000030454919535,Goedereede,71015.22,,,,
00469,Goeman Borgesius,1878-05-24,1917-01-18,"172675,9193",1864-04-06,https://www.geni.com/people/Jacobus-Borgesius/6000000014243925865,Schildwolde,1862-03-28,https://www.geni.com/people/Grietje-Elizabeth-Dijkhuizen/6000000014243925870,Schildwode,,,,,
00498,Guyot,1893-06-23,1912-05-06,"158794,2203",1861-02-17,https://www.genealogieonline.nl/stamboom-van-iddekinge/I55.php,Den Haag,1869-08-29,https://www.genealogieonline.nl/stamboom-van-iddekinge/I1330.php,Den Haag,,,,,
00500,van Gijn,1893-06-23,1937-09-24,"1258608,5701",1870-07-24,https://www.geni.com/people/Hugo-van-Gijn/6000000015063437775,Dordrecht,1907-04-13,https://www.geni.com/people/Fran%C3%A7oise-Cornelia-Stoop/6000000015063601119,Dordrecht,,199414.57,,,
00508,Haffmans,1878-05-24,1896-09-16,"1332,7693",1851-04-26,https://www.geni.com/people/Joannes-Alexander-Leopold-Haffmans/6000000018675993635,Ooijen,1876-02-12,https://www.geni.com/people/Dorothea-Lambertina-Verblackt/6000000018675993642,Horst,,,,,
00517,van Hamel,1911-03-10,1917-03-01,"47846,8984",1885-09-05,https://www.geni.com/people/Joost-Adriaan-van-Hamel/6000000032299170139,Den Haag,1887-07-14,https://www.geni.com/people/Gesina-Cecilia-Gerarda-van-Hamel/6000000019852195846,Velp,12147.62,,,,
00520,van Harinxma thoe Slooten,1878-05-24,1923-11-02,NA,,,,,,,,,,,
00525,Hartogh,1893-06-23,1901-02-13,"302883,8168",1871-08-21,https://www.geni.com/people/Hendrik-Hartogh/6000000015258442056,Muiderberg,1908-09-18,https://www.geni.com/people/Fanny-Enthoven/6000000026587887908,Zeist,,,,,
00522,Harte,,,,1869-08-05,https://www.genealogieonline.nl/stamboom-van-gorcum/I1126.php,Utrecht,1890-09-15,https://www.genealogieonline.nl/stamboom-van-gorcum/I1119.php,Hilversum,,,,,
00540,Heemskerk,1893-06-23,1932-06-12,NA,,,,,,,,,,,
00544,Heeres,1914-06-03,1932-02-16,"475357,8338",1892-08-11,https://www.geni.com/people/Gerrit-Heeres/6000000028183973127,Groningen,1892-08-11,https://www.geni.com/people/Gerrit-Heeres/6000000028183973127,Groningen,,,,,
00553,Heldt,1893-06-23,1914-01-13,"903,9052",,,,,,,,,,,
00557,Helsdingen,1911-03-10,1921-08-20,NA,,,,,,,,,,,
00562,Hennequin,1893-06-23,1912-02-02,NA,,,,,,,,,,,
00569,van Heukelom,1878-05-24,1880-07-11,"454624,6157",1823,https://nl.wikipedia.org/wiki/Cornelis_van_Heukelom,,1859,https://nl.wikipedia.org/wiki/Cornelis_van_Heukelom,,,,,,
00578,Heydenrijck,1878-05-24,1911-09-06,NA,,,,,,,,,,,
00583,Hingst,1878-05-24,1906-10-18,"1178598,6682",1834-04-05,https://www.geni.com/people/Simon-Hingst/6000000025739092246,,1841,https://www.genealogieonline.nl/en/stamboom-griffioen-koster/I528208.php,,,,,"https://www.all-the-hingst.com/allthehingst/index.php?route=individual&xref=X239&ged=hingst, https://www.genealogieonline.nl/stamboom-driessen/I73350938.php","Heeft een zus, Jacoba Huidekoper, doodgegaan in 1879: https://www.genealogieonline.nl/stamboom-jellema/I209204.php"
00584,Hintzen,1893-06-23,1932-11-18,"3938359,6845",1853,https://www.genealogieonline.nl/stamboom-driessen/I73199618.php,Amsterdam,1890-03-03,https://www.genealogieonline.nl/stamboom-driessen/I73199620.php,Amsterdam,,920120.63,,,
00594,Holtzman,1878-05-24,1916-04-01,NA,,,,,,,,,,,
00601,van Hoogstrate,1911-03-10,1936-06-30,"60367,2179",1875,https://nl.wikipedia.org/wiki/Jan_Samuel_Fran%C3%A7ois_van_Hoogstraten,,1899-10-13,https://www.genealogieonline.nl/west-europese-adel/I250609.php,Den Haag,,139072.35,,,
00607,van Houten,1878-05-24,1930-10-14,"325285,5308",1864-06-16,https://www.geni.com/people/Derk-Hindriks-van-Houten/6000000014815348209,Groningen,1856-07-11,https://www.geni.com/people/Barbara-Elisabeth-Meihuizen/6000000014814843942,Groningen,,,,https://www.geni.com/people/Sientje-van-Houten/6000000014815361536,
00609,Houwing,1893-06-23,1907-02-04,"44275,4159",1882-03-02,https://www.genealogieonline.nl/stamboom-houwing-oostenbrug/I1106.php,Terwispel,1888-08-28,https://www.genealogieonline.nl/stamboom-houwing-oostenbrug/I1129.php,Terwispel,,,,,
00613,Hubrecht,1911-03-10,1926-08-01,"2221309,1495",1880-04-14,https://www.genealogieonline.nl/stamboom-den-elzen/I61639.php,Leiden,1847,https://www.genealogieonline.nl/stamboom-den-elzen/I61639.php,Vogelenzang,83735.58,,,https://www.genealogieonline.nl/stamboom-den-elzen/I61643.php,
00615,Hugenholtz,1914-06-03,1924-05-13,NA,,,,,,,,,,,
